pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,pl_ratdor,pl_disc,pl_telescope,pl_pelink,pl_edelink,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age
Kepler-880,Kepler-880 b,Transit,1,7.71468975,611.85,6761.00,1.46,1.74,,,2.660,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-880_b/,,,4.12,,,0.030,[Fe/H],1.660
Kepler-881,Kepler-881 b,Transit,1,4.44448017,1431.56,5961.00,1.06,1.09,,,1.780,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-881_b/,,,4.39,,,0.000,[Fe/H],3.800
Kepler-882,Kepler-882 b,Transit,1,3.98953967,512.04,5476.00,0.90,0.87,,,1.230,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-882_b/,,,4.52,,,-0.030,[Fe/H],4.570
Kepler-883,Kepler-883 b,Transit,1,12.98495573,638.99,6116.00,1.06,1.09,,,1.780,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-883_b/,,,4.40,,,-0.130,[Fe/H],3.020
Kepler-884,Kepler-884 b,Transit,1,5.69919514,323.70,5715.00,1.00,0.94,,,1.230,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-884_b/,,,4.49,,,0.050,[Fe/H],2.450
Kepler-885,Kepler-885 b,Transit,1,18.11472949,663.71,6187.00,1.21,1.35,,,2.500,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-885_b/,,,4.26,,,0.110,[Fe/H],3.160
Kepler-886,Kepler-886 b,Transit,1,6.24146367,726.19,6098.00,1.10,1.16,,,1.520,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-886_b/,,,4.35,,,-0.010,[Fe/H],3.390
Kepler-887,Kepler-887 b,Transit,2,20.42228798,909.77,6194.00,1.19,1.29,,,1.840,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-887_b/,,,4.29,,,0.080,[Fe/H],3.090
Kepler-887,Kepler-887 c,Transit,2,7.63846023,909.77,6194.00,1.19,1.29,,,1.130,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-887_c/,,,4.29,,,0.080,[Fe/H],3.090
Kepler-888,Kepler-888 b,Transit,1,70.69790610,425.98,5875.00,0.97,0.90,,,1.760,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-888_b/,,,4.52,,,-0.210,[Fe/H],1.480
Kepler-889,Kepler-889 b,Transit,1,3.74443900,608.75,5961.00,1.14,1.25,,,1.090,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-889_b/,,,4.30,,,0.190,[Fe/H],3.980
Kepler-890,Kepler-890 b,Transit,1,52.75875577,1801.46,5954.00,1.09,1.13,,,8.890,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-890_b/,,,4.37,,,0.090,[Fe/H],3.630
Kepler-891,Kepler-891 b,Transit,1,53.44945593,2510.77,5887.00,1.06,1.07,,,6.410,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-891_b/,,,4.41,,,0.090,[Fe/H],3.550
Kepler-892,Kepler-892 b,Transit,1,13.75210720,580.03,4747.00,0.75,0.72,,,2.810,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-892_b/,,,4.61,,,-0.040,[Fe/H],5.010
Kepler-893,Kepler-893 b,Transit,1,6.33855761,1334.91,5820.00,1.00,0.99,,,3.030,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-893_b/,,,4.45,,,-0.030,[Fe/H],3.800
Kepler-894,Kepler-894 b,Transit,1,9.80322400,1202.70,5603.00,0.87,0.85,,,2.780,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-894_b/,,,4.53,,,-0.250,[Fe/H],4.270
Kepler-895,Kepler-895 b,Transit,1,2.80624233,548.46,4315.00,0.65,0.61,,,1.540,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-895_b/,,,4.67,,,-0.160,[Fe/H],2.630
