pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,pl_ratdor,pl_disc,pl_telescope,pl_pelink,pl_edelink,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age
EPIC 249893012,EPIC 249893012 d,Transit,3,35.747,324.22,5430,1.05,1.71,752,10.18,3.94,27.42,2020,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic_249893012_d/,,G8 IV/V,3.99,,0.298,0.2,[Fe/H],9
FU Tau,FU Tau b,Imaging,1,,133.5,2838,0.05,,2375,5085.28,,,2008,0.85 m Spitzer Space Telescope,http://exoplanet.eu/catalog/fu_tau_b/,,M7.25,,-0.699,,,,0.001
Fomalhaut,Fomalhaut b,Imaging,1,555530,,,1.92,,,,,,2008,2.4 m Hubble Space Telescope,http://exoplanet.eu/catalog/fomalhaut_b/,http://exoplanets.org/detail/Fomalhaut_b,A3 V,,,,,,
G 9-40,G 9-40 b,Transit,1,5.746007,27.95,3348,0.29,0.31,456,,2.025,27,2019,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/g_9-40_b/,,M2.5 V,4.93,-1.971,14.11,0.04,[Fe/H],9.9
GJ 1061,GJ 1061 b,Radial Velocity,3,3.204,3.67,2953,0.12,0.16,,,,,2020,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_1061_b/,,M5.5 V,,-2.77,,-0.08,[Fe/H],7
GJ 1061,GJ 1061 c,Radial Velocity,3,6.689,3.67,2953,0.12,0.16,,,,,2020,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_1061_c/,,M5.5 V,,-2.77,,-0.08,[Fe/H],7
GJ 1061,GJ 1061 d,Radial Velocity,3,13.031,3.67,2953,0.12,0.16,,,,,2020,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_1061_d/,,M5.5 V,,-2.77,,-0.08,[Fe/H],7
GJ 1132,GJ 1132 b,Transit,2,1.628931,12.62,3270,0.18,0.21,529,1.66,,,2015,MEarth-South telescope array,http://exoplanet.eu/catalog/gj_1132_b/,,M4.5 V,,-2.359,,,,
GJ 1132,GJ 1132 c,Radial Velocity,2,8.929,12.62,3270,0.18,0.21,300,,,,2018,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_1132_c/,,M4.5 V,,-2.359,,,,
GJ 1148,GJ 1148 b,Radial Velocity,2,41.38,11.02,3264,0.35,0.4,,,,,2010,10 m Keck I Telescope,http://exoplanet.eu/catalog/hip_57050_b/,http://exoplanets.org/detail/HIP_57050_b,M4,,-1.699,,,,
GJ 1148,GJ 1148 c,Radial Velocity,2,532.58,11.02,3264,0.35,0.4,,,,,2017,3.5 m telescope,,,M4,,-1.699,,,,
GJ 1214,GJ 1214 b,Transit,1,1.58040456,14.65,3026,0.15,0.22,,6.26125,2.847,14,2009,0.4 m MEarth Telescope,http://exoplanet.eu/catalog/gj_1214_b/,http://exoplanets.org/detail/GJ_1214_b,M4.5,4.94,,,0.39,[Fe/H],
GJ 1252,GJ 1252 b,Transit,1,0.5182349,20.38,3458,0.38,0.39,1089,2.09,1.193,,2020,0.1 m TESS Telescope,http://exoplanet.eu/catalog/gj_1252_b/,,M3,,-1.708,,0.1,[Fe/H],
GJ 1265,GJ 1265 b,Radial Velocity,1,3.6511,10.26,3236,0.18,0.19,,,,,2018,3.5 m telescope,http://exoplanet.eu/catalog/gj_1265_b/,,M4.5 V,5.09,-2.439,,-0.04,[Fe/H],
GJ 143,GJ 143 b,Transit,2,35.61253,16.33,4640,0.73,0.69,422,22.7,2.61,60.1,2019,0.1 m TESS Telescope,http://exoplanet.eu/catalog/gj_143_b/,,K4.5,4.61,-0.686,3.03,0.003,[Fe/H],3.8
GJ 15 A,GJ 15 A b,Radial Velocity,2,11.4407,3.56,3607,0.38,0.38,,,,,2014,10 m Keck I Telescope,http://exoplanet.eu/catalog/gj_15a_b/,,M1,4.87,-1.655,,-0.34,[Fe/H],
GJ 15 A,GJ 15 A c,Radial Velocity,2,7600,3.56,3607,0.38,0.38,,,,,2018,3.58 m Telescopio Nazionale Galileo,,,M1,4.87,-1.655,,-0.34,[Fe/H],
GJ 160.2,GJ 160.2 b,Radial Velocity,1,5.2354,25.88,4347,0.69,,,,,,2014,Multiple Telescopes,http://exoplanet.eu/catalog/gj_160.2_b/,,M0 V,,-0.796,,,,
GJ 163,GJ 163 b,Radial Velocity,3,8.63182,15.14,3500,0.4,,,,,,2013,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_163_b/,http://exoplanets.org/detail/GJ_163_b,M3.5 V,,-1.708,,0.1,[Fe/H],6
GJ 163,GJ 163 c,Radial Velocity,3,25.63058,15.14,3500,0.4,,,,,,2013,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_163_c/,http://exoplanets.org/detail/GJ_163_c,M3.5 V,,-1.708,,0.1,[Fe/H],6
GJ 163,GJ 163 d,Radial Velocity,3,603.95116,15.14,3500,0.4,,,,,,2013,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_163_d/,http://exoplanets.org/detail/GJ_163_d,M3.5 V,,-1.708,,0.1,[Fe/H],6
