pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_bmassj,pl_radj,pl_dens,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_massj,pl_masse,pl_rade,pl_rads,pl_ratdor,pl_disc,pl_disc_reflink,pl_facility,pl_telescope,pl_instrument,pl_mnum,pl_pelink,pl_edelink,st_sp,st_logg,st_lum,st_metfe,st_metratio,st_age
LSPM J2116+0234,LSPM J2116+0234 b,Radial Velocity,1,14.4399,0.0078,-0.0087,0,0.04185,,,17.64,3475,0.43,0.43,,,,,,,2019,<a refstr=LALITHA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190509075L/abstract target=ref>Lalitha et al. 2019</a>,Calar Alto Observatory,3.5 m telescope,CARMENES,0,http://exoplanet.eu/catalog/lspm_j2116+0234_b/,,6.3,4.95,-1.699,-0.05,[Fe/H],2
LTT 1445 A,LTT 1445 A b,Transit,1,5.35882,0.0003,-0.00031,0,0.00692,0.123,4.4,6.87,3337,0.26,0.28,433,0.00692,2.2,1.38,0.013,29.6,2019,<a refstr=WINTERS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190610147W/abstract target=ref>Winters et al. 2019</a>,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/ltt_1445a_b/,,6.3,4.97,,-0.34,[Fe/H],
LkCa 15,LkCa 15 b,Imaging,2,,,,,,,,158.87,,,,,,,,,,2015,<a refstr=SALLUM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,Large Binocular Telescope Observatory,Large Binocular Telescope,LMIRCam,0,http://exoplanet.eu/catalog/lkca_15_b/,,,,,,,
LkCa 15,LkCa 15 c,Imaging,2,,,,,,,,158.87,,,,,,,,,,2015,<a refstr=SALLUM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,Large Binocular Telescope Observatory,Large Binocular Telescope,LMIRCam,0,,,,,,,,
Lupus-TR-3,Lupus-TR-3 b,Transit,1,3.91405,4E-05,-4E-05,0,0.81,0.89,1.4,729.76,5000,0.87,0.82,,0.81,257.431,9.976,0.091,,2007,<a refstr=WELDRAKE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...675L..37W/abstract target=ref> Weldrake et al. 2008 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,,,,,,,,
MASCARA-1,MASCARA-1 b,Transit,1,2.14878,8E-06,-8E-06,0,3.7,1.5,1.5,183.21,7554,1.72,2.1,2570,3.7,1175.971,16.814,0.154,,2017,<a refstr=TALENS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..73T/abstract target=ref>Talens et al. 2017</a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/mascara-1_b/,,2.8,4,1.176,0,[Fe/H],1
MOA-2007-BLG-192L,MOA-2007-BLG-192L b,Microlensing,1,,,,,0.01,,,,,0.06,,,0.01,3.3,,,,2008,<a refstr=BENNETT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...684..663B/abstract target=ref> Bennett et al. 2008 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2007-blg-192l_b/,http://exoplanets.org/detail/MOA-2007-BLG-192L_b,,,,,,
MOA-2007-BLG-400L,MOA-2007-BLG-400L b,Microlensing,1,,,,,0.83,,,,,0.3,,103,0.83,263.79,,,,2008,<a refstr=DONG_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...698.1826D/abstract target=ref> Dong et al. 2009 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2007-blg-400l_b/,http://exoplanets.org/detail/MOA-2007-BLG-400L_b,,,,,,
MOA-2008-BLG-310L,MOA-2008-BLG-310L b,Microlensing,1,,,,0,0.07362,,,,,0.21,,,0.07362,23.4,,,,2009,<a refstr=JANCZAK_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711..731J/abstract target=ref> Janczak et al. 2010 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2008-blg-310l_b/,http://exoplanets.org/detail/MOA-2008-BLG-310L_b,,,,,,
MOA-2008-BLG-379L,MOA-2008-BLG-379L b,Microlensing,1,,,,0,4.1,,,,,0.56,,,4.1,1303.103,,,,2013,<a refstr=SUZUKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780..123S/abstract target=ref> Suzuki et al. 2014 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2008-blg-379l_b/,,5,,,,,
