pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_bmassj,pl_radj,pl_dens,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_massj,pl_masse,pl_rade,pl_rads,pl_ratdor,pl_disc,pl_disc_reflink,pl_facility,pl_telescope,pl_instrument,pl_mnum,pl_pelink,pl_edelink,st_sp,st_logg,st_lum,st_metfe,st_metratio,st_age
11 Com,11 Com b,Radial Velocity,1,326.03,0.32,-0.32,0,19.4,,,93.37,4742,2.7,19,,,,,,,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,0,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b,5,2.31,2.243,-0.35,[Fe/H],
11 UMi,11 UMi b,Radial Velocity,1,516.21997,3.2,-3.2,0,14.74,,,125.72,4213,2.78,29.79,,,,,,,2009,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b,5.4,1.93,,-0.02,[Fe/H],
14 And,14 And b,Radial Velocity,1,185.84,0.23,-0.23,0,4.8,,,75.59,4813,2.2,11,,,,,,,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b,4.8,2.63,1.763,-0.24,[Fe/H],
14 Her,14 Her b,Radial Velocity,1,1773.40002,2.5,-2.5,0,4.66,,,17.94,5338,0.9,0.93,,,,,,,2002,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b,5,4.45,,0.41,[Fe/H],
16 Cyg B,16 Cyg B b,Radial Velocity,1,798.5,1,-1,0,1.78,,,21.15,5750,1.08,1.13,,,,,,,1996,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,4.25,4.36,,0.06,[Fe/H],
18 Del,18 Del b,Radial Velocity,1,993.3,3.2,-3.2,0,10.3,,,76.38,4979,2.3,8.5,,,,,,,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,4.6,2.82,1.602,-0.052,[Fe/H],
1RXS J160929.1-210524,1RXS J160929.1-210524 b,Imaging,1,,,,,8,,,139.67,4060,0.85,,1700,8,3000,,,,2008,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,0,http://exoplanet.eu/catalog/1rxs_1609_b/,,5.7,,-0.37,,,0.005
24 Boo,24 Boo b,Radial Velocity,1,30.3506,0.0078,-0.0077,0,0.91,,,96.25,4893,0.99,10.64,,,,,,,2018,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180404008T/abstract target=ref>Takarada et al. 2018</a>,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,http://exoplanet.eu/catalog/24_boo_b/,,4.3,2.42,1.774,-0.77,[Fe/H],6.92
24 Sex,24 Sex b,Radial Velocity,2,452.8,2.1,-4.5,0,1.99,,,72.21,5098,1.54,4.9,,,,,,,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,5,3.5,1.164,-0.03,[Fe/H],2.7
24 Sex,24 Sex c,Radial Velocity,2,883,32.4,-13.8,0,0.86,,,72.21,5098,1.54,4.9,,,,,,,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c,5,3.5,1.164,-0.03,[Fe/H],2.7
2MASS J01225093-2439505,2MASS J01225093-2439505 b,Imaging,1,,,,,24.5,,,33.86,3530,0.4,,,24.5,7786.5,,,,2013,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,0,http://exoplanet.eu/catalog/2m_0122-24_b/,,6.35,,-1.72,,,0.12
2MASS J02192210-3925225,2MASS J02192210-3925225 b,Imaging,1,,,,,13.9,1.44,,40.09,3064,0.11,0.28,,13.9,4417.837,16.141,0.148,,2015,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,0,http://exoplanet.eu/catalog/2m_0219-39_b/,,6.6,4.59,-2.23,,,0.035
2MASS J04414489+2301513,2MASS J04414489+2301513 b,Imaging,1,,,,,7.5,,,120.42,,0.02,,,7.5,2383.6,,,,2010,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,0,http://exoplanet.eu/catalog/2m_0441%2B23_b/,,6.85,,,,,0.001
2MASS J12073346-3932539,2MASS J12073346-3932539 b,Imaging,1,,,,,4,,,64.42,,0.02,,1150,4,1271,,,,2004,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,http://exoplanet.eu/catalog/2m1207_b/,,6.8,,,,,0.008
2MASS J19383260+4603591,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416,2,-2,0,1.9,,,400.77,,0.48,,,1.9,603.877,,,,2015,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/2m_1938%2B46_b/,,,,,,,
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,Imaging,1,7336.5,1934.5,-584,0,20.95,0.92,,33.12,2300,0.08,0.12,2075,20.95,6657.48,10.31,0.09,,2009,<a refstr=KONOPACKY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref> Konopacky et al. 2010 </a>,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,0,http://exoplanet.eu/catalog/2m_2140+16_b/,,6.85,,-3.48,,,
2MASS J22362452+4751425,2MASS J22362452+4751425 b,Imaging,1,,,,,12.5,,,69.71,4045,0.6,,,12.5,3972.875,,,,2016,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,0,http://exoplanet.eu/catalog/2m_2236%2B4751_b/,,5.7,,,,,0.12
30 Ari B,30 Ari B b,Radial Velocity,1,335.10001,2.5,-2.5,0,13.82,,,44.71,6331,1.93,1.41,,,,,,,2009,<a refstr=GUENTHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...507.1659G/abstract target=ref> Guenther et al. 2009 </a>,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,http://exoplanet.eu/catalog/30_ari_b_b/,http://exoplanets.org/detail/30_Ari_B_b,3.6,4.43,,0.19,[Fe/H],
4 UMa,4 UMa b,Radial Velocity,1,269.3,1.96,-1.96,0,7.1,,,73.58,4415,1.23,18.11,,,,,,,2006,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,http://exoplanet.eu/catalog/4_uma_b/,http://exoplanets.org/detail/4_UMa_b,5.1,1.8,,-0.25,[Fe/H],4.604
42 Dra,42 Dra b,Radial Velocity,1,479.1,6.2,-6.2,0,3.88,,,90.86,4200,0.98,22.03,,,,,,,2008,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,http://exoplanet.eu/catalog/42_dra_b/,http://exoplanets.org/detail/42_Dra_b,5.15,1.71,,-0.46,[Fe/H],9.49
47 UMa,47 UMa b,Radial Velocity,3,1078,2,-2,0,2.53,,,13.8,5892,1.03,1.23,,,,,,,1996,<a refstr=BUTLER___MARCY_1996 href=https://ui.adsabs.harvard.edu/abs/1996ApJ...464L.153B/abstract target=ref> Butler & Marcy 1996 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/47_uma_b/,http://exoplanets.org/detail/47_UMa_b,4,4.27,,0,[Fe/H],7.3
47 UMa,47 UMa c,Radial Velocity,3,2391,100,-87,0,0.54,,,13.8,5892,1.03,1.23,,,,,,,2001,<a refstr=FISCHER_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002ApJ...564.1028F/abstract target=ref> Fischer et al. 2002 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/47_uma_c/,http://exoplanets.org/detail/47_UMa_c,4,4.27,,0,[Fe/H],7.3
47 UMa,47 UMa d,Radial Velocity,3,14002,4018,-5095,0,1.64,,,13.8,5892,1.03,1.23,,,,,,,2009,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/47_uma_d/,,4,4.27,,0,[Fe/H],7.3
51 Eri,51 Eri b,Imaging,1,11688,6209.25,-3287.25,0,,,,29.78,,1.75,,,,,,,,2015,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,0,http://exoplanet.eu/catalog/51_eri_b/,,3,,0.85,-0.027,[M/H],0.02
51 Peg,51 Peg b,Radial Velocity,1,4.230785,3.6E-05,-3.6E-05,0,0.472,,,15.47,5793,1.12,1.2,,,,,,,1995,<a refstr=MAYOR___QUELOZ_1995 href=https://ui.adsabs.harvard.edu/abs/1995Natur.378..355M/abstract target=ref> Mayor & Queloz 1995 </a>,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,0,http://exoplanet.eu/catalog/51_peg_b/,http://exoplanets.org/detail/51_Peg_b,4.25,4.33,,0.2,[Fe/H],4
55 Cnc,55 Cnc b,Radial Velocity,5,14.65152,0.00015,-0.00015,0,0.8306,,,12.59,5196,0.91,0.94,,0.8306,263.9785,,,,1996,<a refstr=BUTLER_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...474L.115B/abstract target=ref> Butler et al. 1997 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/55_cnc_b/,http://exoplanets.org/detail/55_Cnc_b,4.8,4.45,-0.235,0.31,[Fe/H],10.2
55 Cnc,55 Cnc c,Radial Velocity,5,44.4175,0.0073,-0.0073,0,0.1714,,,12.59,5196,0.91,0.94,,0.1714,54.4738,,,,2004,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,http://exoplanet.eu/catalog/55_cnc_c/,http://exoplanets.org/detail/55_Cnc_c,4.8,4.45,-0.235,0.31,[Fe/H],10.2
55 Cnc,55 Cnc d,Radial Velocity,5,4825,39,-39,0,3.878,,,12.59,5196,0.91,0.94,,3.878,1232.493,,,,2002,<a refstr=MARCY_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002ApJ...581.1375M/abstract target=ref> Marcy et al. 2002 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/55_cnc_d/,http://exoplanets.org/detail/55_Cnc_d,4.8,4.45,-0.235,0.31,[Fe/H],10.2
55 Cnc,55 Cnc e,Radial Velocity,5,0.736539,7E-06,-7E-06,0,0.02542,0.17,6.4,12.59,5196,0.91,0.94,,0.02542,8.08,1.91,0.018,,2004,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,http://exoplanet.eu/catalog/55_cnc_e/,http://exoplanets.org/detail/55_Cnc_e,4.8,4.45,-0.235,0.31,[Fe/H],10.2
55 Cnc,55 Cnc f,Radial Velocity,5,262,0.51,-0.51,0,0.141,,,12.59,5196,0.91,0.94,,0.141,44.812,,,,2007,<a refstr=FISCHER_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...675..790F/abstract target=ref> Fischer et al. 2008 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/55_cnc_f/,http://exoplanets.org/detail/55_Cnc_f,4.8,4.45,-0.235,0.31,[Fe/H],10.2
6 Lyn,6 Lyn b,Radial Velocity,1,934.3,8.6,-8.6,0,2.01,,,54.74,4938,1.44,5.2,,,,,,,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,http://exoplanet.eu/catalog/6_lyn_b/,http://exoplanets.org/detail/6_Lyn_b,5,3.19,,,,
61 Vir,61 Vir b,Radial Velocity,3,4.215,0.0006,-0.0006,0,0.016,,,8.51,5577,0.94,0.96,,,,,,,2009,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/61_vir_b/,http://exoplanets.org/detail/61_Vir_b,4.5,4.34,-0.095,-0.01,[Fe/H],8.96
61 Vir,61 Vir c,Radial Velocity,3,38.021,0.034,-0.034,0,0.057,,,8.51,5577,0.94,0.96,,,,,,,2009,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/61_vir_c/,http://exoplanets.org/detail/61_Vir_c,4.5,4.34,-0.095,-0.01,[Fe/H],8.96
61 Vir,61 Vir d,Radial Velocity,3,123.01,0.55,-0.55,0,0.072,,,8.51,5577,0.94,0.96,,,,,,,2009,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/61_vir_d/,http://exoplanets.org/detail/61_Vir_d,4.5,4.34,-0.095,-0.01,[Fe/H],8.96
7 CMa,7 CMa b,Radial Velocity,2,735.1,14.8,-1,0,1.85,,,19.82,4826,1.34,4.87,,,,,,,2011,<a refstr=WITTENMYER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1111.1007W/abstract target=ref> Wittenmyer et al. 2011 </a>,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,http://exoplanet.eu/catalog/7_cma_b/,http://exoplanets.org/detail/7_CMa_b,5.1,3.19,1.063,0.21,[Fe/H],4.3
7 CMa,7 CMa c,Radial Velocity,2,996,1.5,-52.4,0,0.87,,,19.82,4826,1.34,4.87,,,,,,,2019,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv191005853L/abstract target=ref>Luque et al. 2019</a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/7_cma_c/,,5.1,3.19,1.063,0.21,[Fe/H],4.3
70 Vir,70 Vir b,Radial Velocity,1,116.688,0.0054,-0.0054,0,7.416,,,17.91,5495,1.09,1.89,,,,,,,1996,<a refstr=MARCY___BUTLER_1996 href=https://ui.adsabs.harvard.edu/abs/1996ApJ...464L.147M/abstract target=ref> Marcy & Butler 1996 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/70_vir_b/,http://exoplanets.org/detail/70_Vir_b,4.4,3.95,,,,
75 Cet,75 Cet b,Radial Velocity,1,691.9,3.6,-3.6,0,3,,,83.15,4846,2.49,10.5,,,,,,,2012,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64..135S/abstract target=ref> Sato et al. 2012 </a>,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,http://exoplanet.eu/catalog/75_cet_b/,http://exoplanets.org/detail/75_Cet_b,4.3,2.63,1.73,0,[Fe/H],
8 UMi,8 UMi b,Radial Velocity,1,93.4,4.5,-4.5,0,1.31,,,163.32,4847,1.44,10.3,,,,,,,2015,<a refstr=LEE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...584A..79L/abstract target=ref>Lee et al. 2015</a>,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,0,http://exoplanet.eu/catalog/8_umi_b/,,5,2.57,,-0.03,[Fe/H],
81 Cet,81 Cet b,Radial Velocity,1,952.7,8.8,-8.8,0,5.3,,,101.53,4785,2.4,11,,,,,,,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,http://exoplanet.eu/catalog/81_cet_b/,http://exoplanets.org/detail/81_Cet_b,4.5,2.35,1.778,-0.06,[Fe/H],
91 Aqr,91 Aqr b,Radial Velocity,1,181.4,0.1,-0.1,0,3.2,,,44.08,4665,1.4,11,,,,,,,2013,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/91_aqr_b/,http://exoplanets.org/detail/91_Aqr_b,5,2.52,,-0.03,[Fe/H],3.56
AB Pic,AB Pic b,Imaging,1,,,,,13.5,,,50.12,,,,,13.5,4290.5,,,,2005,<a refstr=CHAUVIN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref> Chauvin et al. 2005 </a>,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,http://exoplanet.eu/catalog/ab_pic_b/,,5.2,,,,,0.03
BD+03 2562,BD+03 2562 b,Radial Velocity,1,481.9,2.7,-2.8,0,6.4,,,1106.93,4095,1.14,32.35,,,,,,8.64,2017,<a refstr=VILLAVER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..38V/abstract target=ref>Villaver et al. 2017</a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,,,,1.89,2.7,-0.71,[Fe/H],5.2
BD+14 4559,BD+14 4559 b,Radial Velocity,1,268.94,0.99,-0.99,0,1.04,,,49.42,4864,0.49,0.86,,,,,,,2009,<a refstr=NIEDZIELSKI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..768N/abstract target=ref> Niedzielski et al. 2009 </a>,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,http://exoplanet.eu/catalog/bd%2B14_4559_b/,http://exoplanets.org/detail/BD_+14_4559_b,5.2,4.26,,0.17,[Fe/H],
BD+15 2375,BD+15 2375 b,Radial Velocity,1,153.22,0.44,-0.44,0,1.061,,,785.38,4649,1.08,8.95,,,,,,,2016,<a refstr=NIEDZIELSKI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A..62N/abstract target=ref>Niedzielski et al. 2016</a>,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,0,http://exoplanet.eu/catalog/bd%2B15_2375_b/,,4.5,2.61,1.57,-0.22,[Fe/H],7.41
BD+15 2940,BD+15 2940 b,Radial Velocity,1,137.48,0.34,-0.34,0,1.11,,,431.61,4796,1.1,14.7,,,,,,,2013,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,http://exoplanet.eu/catalog/bd+15_2940_b/,,5,2.8,2.01,0.28,[Fe/H],7.1
BD+20 2457,BD+20 2457 b,Radial Velocity,2,379.63,2,-2,0,55.59,,,1670.85,4259,10.83,71.02,,,,,,,2009,<a refstr=NIEDZIELSKI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..768N/abstract target=ref> Niedzielski et al. 2009 </a>,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,http://exoplanet.eu/catalog/bd%2B20_2457_b/,http://exoplanets.org/detail/BD_+20_2457_b,5.2,1.77,,-0.79,[Fe/H],
BD+20 2457,BD+20 2457 c,Radial Velocity,2,621.99,10.2,-10.2,0,12.47,,,1670.85,4259,10.83,71.02,,,,,,,2009,<a refstr=NIEDZIELSKI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..768N/abstract target=ref> Niedzielski et al. 2009 </a>,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,http://exoplanet.eu/catalog/bd%2B20_2457_c/,http://exoplanets.org/detail/BD_+20_2457_c,5.2,1.77,,-0.79,[Fe/H],
BD+20 274,BD+20 274 b,Radial Velocity,1,578.2,5.4,-5.4,0,4.2,,,1383.85,4296,0.8,17.3,,,,,,,2012,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...53G/abstract target=ref> Gettel et al. 2012 </a>,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,http://exoplanet.eu/catalog/bd+20_274_c/,,5.5,1.99,1.96,-0.46,[Fe/H],
BD+20 594,BD+20 594 b,Transit,1,41.6855,0.003,-0.003,0,0.07,0.23,,180.39,5766,1.67,1.08,,0.07,22.2481,2.578,0.024,55.8,2016,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/bd%2B20_594_b/,,4,4.5,,-0.15,[Fe/H],
BD+48 738,BD+48 738 b,Radial Velocity,1,392.6,5.5,-5.5,0,0.91,,,892.17,4414,0.74,11,,,,,,,2011,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,http://exoplanet.eu/catalog/bd%2B48_738_b/,http://exoplanets.org/detail/BD_+48_738_b,5,2.24,1.69,-0.2,[Fe/H],
BD+48 740,BD+48 740 b,Radial Velocity,1,733,5,-8,0,1.7,,,678.94,4534,1.09,10.33,,,,,,,2018,<a refstr=ADAMOW_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180104379A/abstract target=ref>Adamow et al. 2018</a>,Multiple Observatories,Multiple Telescopes,Multiple Instuments,0,,,5.3,2.48,1.64,-0.13,[Fe/H],
BD+49 828,BD+49 828 b,Radial Velocity,1,2590,300,-180,0,1.6,,,447.59,4943,1.52,7.6,,,,,,,2015,<a refstr=NIEDZIELSKI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803....1N/abstract target=ref>Niedzielski et al. 2015</a>,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,http://exoplanet.eu/catalog/bd%2B49_828_b/,,5,2.85,1.47,-0.19,[Fe/H],2.34
BD-06 1339,BD-06 1339 b,Radial Velocity,2,3.8728,0.0004,-0.0004,0,0.027,,,20.28,4324,0.7,,,,,,,,2013,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/bd-06_1339_b/,,5.85,4.74,-1.022,-0.14,[Fe/H],4.4
BD-06 1339,BD-06 1339 c,Radial Velocity,2,125.94,0.44,-0.44,0,0.17,,,20.28,4324,0.7,,,,,,,,2013,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/bd-06_1339_c/,,5.85,4.74,-1.022,-0.14,[Fe/H],4.4
